ダウンロードした時刻：2026/02/15 18:25:07

,東京,東京,東京
年月日,平均気温(℃),平均気温(℃),平均気温(℃)
,,品質情報,均質番号
2022/1/1,3.4,8,1
2022/1/2,3.5,8,1
2022/1/3,5.5,8,1
2022/1/4,5.2,8,1
2022/1/5,4.1,8,1
2022/1/6,0.7,8,1
2022/1/7,2.6,8,1
2022/1/8,4.5,8,1
2022/1/9,6.3,8,1
2022/1/10,7.7,8,1
2022/1/11,5.7,8,1
2022/1/12,5.0,8,1
2022/1/13,5.7,8,1
2022/1/14,4.4,8,1
2022/1/15,5.5,8,1
2022/1/16,5.4,8,1
2022/1/17,6.0,8,1
2022/1/18,4.4,8,1
2022/1/19,3.7,8,1
2022/1/20,3.4,8,1
2022/1/21,3.0,8,1
2022/1/22,4.5,8,1
2022/1/23,5.1,8,1
2022/1/24,6.4,8,1
2022/1/25,5.2,8,1
2022/1/26,5.5,8,1
2022/1/27,6.8,8,1
2022/1/28,6.6,8,1
2022/1/29,5.9,8,1
2022/1/30,5.2,8,1
2022/1/31,4.9,8,1
2022/2/1,5.6,8,1
2022/2/2,5.5,8,1
2022/2/3,5.8,8,1
2022/2/4,4.9,8,1
2022/2/5,3.5,8,1
2022/2/6,2.3,8,1
2022/2/7,4.5,8,1
2022/2/8,5.3,8,1
2022/2/9,6.2,8,1
2022/2/10,2.3,8,1
2022/2/11,4.1,8,1
2022/2/12,4.7,8,1
2022/2/13,3.1,8,1
2022/2/14,3.9,8,1
2022/2/15,5.5,8,1
2022/2/16,6.0,8,1
2022/2/17,4.6,8,1
2022/2/18,5.7,8,1
2022/2/19,5.0,8,1
2022/2/20,5.9,8,1
2022/2/21,4.1,8,1
2022/2/22,4.4,8,1
2022/2/23,4.4,8,1
2022/2/24,4.8,8,1
2022/2/25,6.5,8,1
2022/2/26,8.6,8,1
2022/2/27,9.5,8,1
2022/2/28,9.8,8,1
2022/3/1,11.0,8,1
2022/3/2,11.2,8,1
2022/3/3,9.5,8,1
2022/3/4,8.1,8,1
2022/3/5,11.2,8,1
2022/3/6,8.1,8,1
2022/3/7,8.3,8,1
2022/3/8,6.3,8,1
2022/3/9,7.9,8,1
2022/3/10,9.0,8,1
2022/3/11,12.0,8,1
2022/3/12,14.6,8,1
2022/3/13,14.7,8,1
2022/3/14,16.4,8,1
2022/3/15,12.7,8,1
2022/3/16,14.1,8,1
2022/3/17,14.1,8,1
2022/3/18,5.2,8,1
2022/3/19,10.1,8,1
2022/3/20,9.9,8,1
2022/3/21,9.6,8,1
2022/3/22,3.7,8,1
2022/3/23,5.2,8,1
2022/3/24,8.2,8,1
2022/3/25,12.2,8,1
2022/3/26,16.1,8,1
2022/3/27,16.2,8,1
2022/3/28,13.5,8,1
2022/3/29,10.2,8,1
2022/3/30,14.5,8,1
2022/3/31,15.1,8,1
2022/4/1,7.6,8,1
2022/4/2,8.5,8,1
2022/4/3,8.2,8,1
2022/4/4,8.5,8,1
2022/4/5,12.6,8,1
2022/4/6,15.5,8,1
2022/4/7,14.3,8,1
2022/4/8,15.4,8,1
2022/4/9,17.2,8,1
2022/4/10,19.6,8,1
2022/4/11,18.9,8,1
2022/4/12,20.0,8,1
2022/4/13,20.8,8,1
2022/4/14,12.3,8,1
2022/4/15,10.1,8,1
2022/4/16,12.5,8,1
2022/4/17,13.7,8,1
2022/4/18,14.3,8,1
2022/4/19,15.3,8,1
2022/4/20,12.2,8,1
2022/4/21,16.4,8,1
2022/4/22,19.2,8,1
2022/4/23,20.8,8,1
2022/4/24,17.3,8,1
2022/4/25,19.9,8,1
2022/4/26,21.3,8,1
2022/4/27,23.0,8,1
2022/4/28,16.9,8,1
2022/4/29,12.9,8,1
2022/4/30,12.6,8,1
